Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
01/28/2007,10.18,1.40,20.40,0.13,18.70,33.50,4.63
11/16/2016,10.18,1.55,26.00,0.04,20.10,33.41,3.19
03/30/2017,10.18,2.27,40.00,0.15,22.00,34.27,1.32
04/17/2005,10.19,2.42,36.80,0.08,26.80,33.84,1.66
04/24/2005,10.19,2.44,33.80,0.03,26.20,33.81,1.87
04/04/2012,10.19,1.54,21.90,0.03,23.10,33.68,3.50
07/22/2012,10.19,1.59,23.80,0.00,22.20,33.78,3.02
04/11/2017,10.19,1.25,17.20,0.01,8.90,34.36,4.19
02/04/2002,10.20,2.06,26.00,0.03,20.10,33.71,2.65
04/03/2004,10.20,2.59,36.60,0.09,27.70,33.76,1.63
10/28/2010,10.20,1.68,23.90,0.06,20.20,33.80,3.39
02/07/2006,10.21,1.82,11.00,0.11,13.90,33.74,4.07
07/21/2014,10.21,1.42,25.10,0.01,20.80,33.77,3.27
08/13/2010,10.22,1.29,15.00,0.61,15.00,33.40,4.77
11/10/2014,10.22,2.14,31.60,0.01,24.00,33.85,2.32
01/27/2015,10.22,2.10,31.80,0.02,23.60,33.98,2.31
07/17/2019,10.23,1.80,22.10,0.04,18.60,33.67,3.77
04/23/2003,10.24,2.16,26.60,0.01,22.30,33.50,2.93
04/14/2001,10.25,1.28,29.00,0.03,16.40,33.65,4.24
07/12/2012,10.25,1.71,25.00,0.09,22.90,33.87,2.87
07/19/2015,10.25,2.20,32.00,0.03,24.20,34.03,2.37
01/16/2004,10.26,2.61,39.00,0.04,28.20,34.29,1.41
07/20/2015,10.26,2.28,34.60,0.02,25.60,34.04,2.00
01/16/2015,10.27,1.66,27.80,0.01,21.20,33.64,2.71
04/07/2015,10.27,2.09,29.90,0.03,23.30,33.93,2.61
07/21/2015,10.27,2.40,36.00,0.02,26.50,34.06,1.73
01/20/2017,10.27,1.40,23.30,0.08,20.00,33.51,3.12
10/24/2003,10.28,2.34,30.70,0.01,26.20,33.77,2.19
01/15/2004,10.28,2.61,38.60,0.04,28.20,34.29,1.43
11/01/2010,10.28,1.65,23.00,0.06,19.60,33.79,3.47
07/11/2012,10.28,1.65,23.50,0.09,22.30,33.98,3.11
11/05/2004,10.29,1.84,22.60,0.02,20.90,33.80,3.33
10/28/2006,10.29,1.26,18.30,0.24,16.40,33.56,4.71
08/03/2017,10.29,1.35,21.10,0.00,24.80,33.44,3.61
11/13/2019,10.29,1.78,25.70,0.02,20.20,33.71,3.34
07/26/2004,10.30,2.01,24.50,0.01,21.90,33.59,3.14
10/27/2006,10.30,1.24,18.00,0.25,16.10,33.56,4.77
01/31/2012,10.30,1.58,23.20,0.01,23.50,33.72,3.24
04/06/2002,10.32,2.36,30.20,0.02,24.00,33.98,2.33
10/25/2011,10.33,1.55,23.80,0.00,19.50,33.77,3.24
04/06/2015,10.35,1.61,21.00,0.07,18.50,33.71,3.61
04/25/2008,10.36,1.41,18.00,0.09,16.80,33.65,4.72
01/06/2005,10.37,2.37,31.90,0.01,25.30,33.74,2.14
02/05/2003,10.38,1.16,12.50,0.03,12.00,33.69,4.72
07/19/2001,10.39,1.74,20.30,0.20,20.00,34.15,3.79
07/20/2006,10.39,1.23,16.60,0.04,14.40,33.49,5.80
01/16/2008,10.39,1.59,21.80,0.12,20.40,33.63,3.53
02/08/2012,10.39,1.63,22.70,0.21,20.50,33.71,3.47
01/28/2015,10.39,2.03,30.70,0.02,23.00,33.96,2.37
11/11/2010,10.40,1.03,10.90,0.04,13.20,33.44,4.85
04/02/2004,10.43,2.32,30.80,0.01,25.10,33.64,2.33
04/08/2013,10.43,0.72,10.60,0.06,8.10,33.46,5.01
11/14/2019,10.43,1.58,22.00,0.03,18.00,33.67,3.76
04/15/2001,10.44,2.24,62.00,0.00,25.90,34.25,1.98
11/08/2014,10.44,1.90,25.90,0.02,21.50,33.71,2.89
07/03/2007,10.45,0.69,7.30,0.00,5.10,33.01,5.88
07/15/2009,10.45,0.99,15.00,0.00,12.90,33.73,4.89
04/22/2000,10.46,1.58,36.00,0.02,18.70,33.72,3.69
02/13/2003,10.46,1.25,13.20,0.05,13.40,33.78,4.58
01/14/2004,10.46,2.61,36.00,0.05,27.90,34.25,1.57
07/22/2006,10.47,1.21,16.00,0.04,14.00,33.49,5.86
03/30/2002,10.48,1.99,23.50,0.04,22.00,33.53,2.95
04/03/2003,10.49,2.50,35.60,0.23,27.30,34.23,1.37
01/29/2015,10.49,1.98,30.00,0.02,22.60,33.95,2.41
11/01/2015,10.49,1.17,14.20,0.06,11.70,33.48,4.40
